BibTeX_Key,Reference_Number,Group,Group_Label,Cluster,Cluster_Label
r78,78,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r79,79,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r80,80,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r81,81,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r82,82,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r83,83,G1,Conceptual artifacts,C4,"Assessment models for maturity, capabilities, and readiness"
r84,84,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r85,85,G3,Interoperability,I3,Actionable detection and response formats
r86,86,G2,Technical artifacts,T6,Operational consumption and integration
r87,87,G2,Technical artifacts,T6,Operational consumption and integration
r88,88,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r89,89,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r90,90,G2,Technical artifacts,T2,Operational sharing and dissemination
r91,91,G4,Representation and semantics,S2,Semantic entity and relation models
r92,92,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r93,93,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r94,94,G2,Technical artifacts,T6,Operational consumption and integration
r95,95,G2,Technical artifacts,T2,Operational sharing and dissemination
r96,96,G2,Technical artifacts,T6,Operational consumption and integration
r97,97,G2,Technical artifacts,T3,Ingestion and normalization
r98,98,G2,Technical artifacts,T6,Operational consumption and integration
r99,99,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r100,100,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r101,101,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r102,102,G2,Technical artifacts,T6,Operational consumption and integration
r103,103,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r104,104,G3,Interoperability,I1,Standardized CTI models and formats
r105,105,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r106,106,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r107,107,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r108,108,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r109,109,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r110,110,G2,Technical artifacts,T7,Technical protection controls in sharing
r111,111,G1,Conceptual artifacts,C4,"Assessment models for maturity, capabilities, and readiness"
r112,112,G2,Technical artifacts,T6,Operational consumption and integration
r113,113,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r114,114,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r115,115,G1,Conceptual artifacts,C5,Sectoral and compliance-oriented models and architectures
r116,116,G2,Technical artifacts,T2,Operational sharing and dissemination
r117,117,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r118,118,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r119,119,G4,Representation and semantics,S2,Semantic entity and relation models
r120,120,G1,Conceptual artifacts,C1,Governance and ecosystem coordination
r121,121,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r122,122,G3,Interoperability,I1,Standardized CTI models and formats
r123,123,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r124,124,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r125,125,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r126,126,G4,Representation and semantics,S2,Semantic entity and relation models
r127,127,G2,Technical artifacts,T2,Operational sharing and dissemination
r128,128,G2,Technical artifacts,T6,Operational consumption and integration
r129,129,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r130,130,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r131,131,G2,Technical artifacts,T6,Operational consumption and integration
r132,132,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r133,133,G2,Technical artifacts,T2,Operational sharing and dissemination
r134,134,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r135,135,G2,Technical artifacts,T2,Operational sharing and dissemination
r136,136,G2,Technical artifacts,T2,Operational sharing and dissemination
r137,137,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r138,138,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r139,139,G2,Technical artifacts,T2,Operational sharing and dissemination
r140,140,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r141,141,G2,Technical artifacts,T2,Operational sharing and dissemination
r142,142,G1,Conceptual artifacts,C5,Sectoral and compliance-oriented models and architectures
r143,143,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r144,144,G3,Interoperability,I4,Ecosystem-oriented interoperability
r145,145,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r146,146,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r147,147,G2,Technical artifacts,T2,Operational sharing and dissemination
r148,148,G2,Technical artifacts,T2,Operational sharing and dissemination
r149,149,G3,Interoperability,I1,Standardized CTI models and formats
r150,150,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r151,151,G4,Representation and semantics,S2,Semantic entity and relation models
r152,152,G2,Technical artifacts,T6,Operational consumption and integration
r153,153,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r154,154,G2,Technical artifacts,T2,Operational sharing and dissemination
r155,155,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r156,156,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r157,157,G3,Interoperability,I3,Actionable detection and response formats
r158,158,G2,Technical artifacts,T2,Operational sharing and dissemination
r159,159,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r160,160,G2,Technical artifacts,T2,Operational sharing and dissemination
r161,161,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r162,162,G2,Technical artifacts,T2,Operational sharing and dissemination
r163,163,G2,Technical artifacts,T6,Operational consumption and integration
r164,164,G1,Conceptual artifacts,C1,Governance and ecosystem coordination
r165,165,G2,Technical artifacts,T2,Operational sharing and dissemination
r166,166,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r167,167,G2,Technical artifacts,T7,Technical protection controls in sharing
r168,168,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r169,169,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r170,170,G2,Technical artifacts,T6,Operational consumption and integration
r171,171,G3,Interoperability,I1,Standardized CTI models and formats
r172,172,G1,Conceptual artifacts,C5,Sectoral and compliance-oriented models and architectures
